"vina_rank","parent_chembl_id","name","vina_affinity_kcal_mol","bbb_martins_probability","withdrawn_flag","mw_freebase","alogp","psa","rotatable_bonds","first_approval"
1,"CHEMBL1643895","RAMOSETRON",-10.178,0.956900405883789,0,279.34,2.89,50.68,2,2015
2,"CHEMBL276520","INDALPINE",-10.073,0.990087866783142,1,228.34,3.1,27.82,3,
3,"CHEMBL1801800","METABROMSALAN",-9.973,0.743721985816956,1,371.03,4.17,49.33,2,
4,"CHEMBL490","PAROXETINE",-9.814,0.988003718852997,0,329.37,3.33,39.72,4,1992
5,"CHEMBL973","TERIFLUNOMIDE",-9.536,0.786093091964722,0,270.21,3,73.12,2,2012
6,"CHEMBL960","LEFLUNOMIDE",-9.397,0.976765990257263,0,270.21,3.25,55.13,2,1998
7,"CHEMBL1079604","METAXALONE",-9.311,0.98058500289917,0,221.26,1.79,47.56,3,1962
8,"CHEMBL631","PROPAFENONE",-9.222,0.511185437440872,0,341.45,3.24,58.56,11,1989
9,"CHEMBL942","BISACODYL",-9.171,0.524112313985825,0,361.4,4.11,65.49,5,2004
10,"CHEMBL141305","CYCLOFENIL",-9.09,0.551896315813065,1,364.44,5.3,52.6,4,
11,"CHEMBL41","FLUOXETINE",-9.061,0.936992907524109,0,309.33,4.44,21.26,6,1987
12,"CHEMBL936","DIPHENIDOL",-9.033,0.949650585651398,0,309.45,4.19,23.47,6,1967
13,"CHEMBL472","GLYBURIDE",-8.974,0.740389788150787,0,494.01,3.64,113.6,8,1984
14,"CHEMBL1200370","BENZOYL PEROXIDE",-8.959,0.968269550800324,0,242.23,2.62,52.6,2,1984
15,"CHEMBL1201168","ISOCARBOXAZID",-8.909,0.939338147640228,1,231.25,1.42,67.16,4,1959
16,"CHEMBL1239","BENZYL BENZOATE",-8.893,0.911142098903656,0,212.25,3.04,26.3,3,1976
17,"CHEMBL572","NITROFURANTOIN",-8.876,0.967114627361298,0,238.16,0.07,118.05,3,1953
18,"CHEMBL170988","PHENFORMIN",-8.858,0.645997965335846,1,205.26,0.24,97.78,3,
19,"CHEMBL1201288","DANTROLENE",-8.81,0.877025282382965,0,314.26,1.74,118.05,4,1974
20,"CHEMBL880","FAMCICLOVIR",-8.802,0.978032219409943,0,321.34,0.54,122.22,7,1994
21,"CHEMBL848","LENALIDOMIDE",-8.797,0.991596364974976,0,259.26,0.03,92.5,1,2005
22,"CHEMBL27","PROPRANOLOL",-8.781,0.850227558612824,0,259.35,2.58,41.49,6,1967
23,"CHEMBL1086","DIBUCAINE",-8.777,0.981208860874176,0,343.47,3.49,54.46,10,1982
24,"CHEMBL24072","PRENYLAMINE",-8.701,0.890067088603973,1,329.49,5.43,12.03,8,
25,"CHEMBL1401","NITAZOXANIDE",-8.674,0.942504632472992,0,307.29,2.23,111.43,4,2002
26,"CHEMBL855","TRIPROLIDINE",-8.621,0.985521829128265,0,278.4,3.92,16.13,4,1982
27,"CHEMBL1201198","PEMIROLAST",-8.62,0.742615985870361,0,228.22,0.18,88.83,1,1999
28,"CHEMBL806","FLUTAMIDE",-8.617,0.976652956008911,0,276.21,3.21,72.24,3,1989
29,"CHEMBL457","GEMFIBROZIL",-8.601,0.6099126547575,0,250.34,3.57,46.53,6,1981
30,"CHEMBL46917","CARBARIL",-8.598,0.988797032833099,1,201.22,2.56,38.33,1,
31,"CHEMBL4279047","VORASIDENIB",-8.587,0.634986954927445,0,414.74,4.31,75.62,5,2024
32,"CHEMBL76370","TEGASEROD",-8.58,0.600008255243301,1,301.39,2.81,85.29,7,2002
33,"CHEMBL1200868","PHENYL AMINOSALICYLATE",-8.564,0.544559651613235,0,229.24,2.19,72.55,2,1982
34,"CHEMBL162036","BENORILATE",-8.563,0.939024794101715,0,313.31,2.79,81.7,4,
35,"CHEMBL10878","AGOMELATINE",-8.554,0.98579888343811,0,243.31,2.53,38.33,4,2009
36,"CHEMBL19299","LOXOPROFEN",-8.543,0.577201020717621,0,246.31,2.79,54.37,4,
37,"CHEMBL1623992","PIPERIDOLATE",-8.507,0.924961066246033,0,323.44,3.85,29.54,5,
