parent_chembl_id,name,molecule_type,max_phase,first_approval,withdrawn_flag,canonical_smiles,standard_inchi,standard_inchi_key,full_mwt,mw_freebase,alogp,psa,hbd,hba,num_ro5_violations,n_approved_forms,approved_form_chembl_ids,approved_form_names,has_parent_smiles,bbb_martins_probability,bbb_positive,high_confidence_bbb,rdkit_parse_ok,n_fragments,multifragment_flag,elements,special_elements,other_elements,special_element_flag,other_element_flag,heavy_atoms,rotatable_bonds,torsion_gt32_flag,formal_charge,abs_formal_charge,mol_wt_rdkit,tpsa_rdkit,clogp_rdkit,hbd_rdkit,hba_rdkit,ring_count,manual_review_flag,technical_exclusion_reason,docking_compatible,pdbqt_file,vina_affinity_kcal_mol,status,pose_file,log_file,vina_rank
CHEMBL1643895,RAMOSETRON,Small molecule,4.0,2015.0,0,Cn1cc(C(=O)[C@@H]2CCc3[nH]cnc3C2)c2ccccc21,"InChI=1S/C17H17N3O/c1-20-9-13(12-4-2-3-5-16(12)20)17(21)11-6-7-14-15(8-11)19-10-18-14/h2-5,9-11H,6-8H2,1H3,(H,18,19)/t11-/m1/s1",NTHPAPBPFQJABD-LLVKDONJSA-N,279.34,279.34,2.89,50.68,1.0,3.0,0.0,2,CHEMBL1643895;CHEMBL3181841,RAMOSETRON;RAMOSETRON HYDROCHLORIDE,1,0.9569004058837892,True,True,True,1,False,C;N;O,,,False,False,21,2,False,0,0,279.343,50.68,2.889200000000001,1,2,4,False,,True,ligands_pdbqt/CHEMBL1643895.pdbqt,-10.178,completed,vina_screening_full/poses/CHEMBL1643895_out.pdbqt,vina_screening_full/logs/CHEMBL1643895.log,1
CHEMBL276520,INDALPINE,Small molecule,4.0,,1,c1ccc2c(CCC3CCNCC3)c[nH]c2c1,"InChI=1S/C15H20N2/c1-2-4-15-14(3-1)13(11-17-15)6-5-12-7-9-16-10-8-12/h1-4,11-12,16-17H,5-10H2",SADQVAVFGNTEOD-UHFFFAOYSA-N,228.34,228.34,3.1,27.82,2.0,1.0,0.0,1,CHEMBL276520,INDALPINE,1,0.990087866783142,True,True,True,1,False,C;N,,,False,False,17,3,False,0,0,228.339,27.82,3.100100000000001,2,1,3,False,,True,ligands_pdbqt/CHEMBL276520.pdbqt,-10.073,completed,vina_screening_full/poses/CHEMBL276520_out.pdbqt,vina_screening_full/logs/CHEMBL276520.log,2
CHEMBL1801800,METABROMSALAN,Small molecule,4.0,,1,O=C(Nc1ccccc1)c1cc(Br)cc(Br)c1O,"InChI=1S/C13H9Br2NO2/c14-8-6-10(12(17)11(15)7-8)13(18)16-9-4-2-1-3-5-9/h1-7,17H,(H,16,18)",YALKQBRWLMDVSA-UHFFFAOYSA-N,371.03,371.03,4.17,49.33,2.0,2.0,0.0,1,CHEMBL1801800,METABROMSALAN,1,0.7437219858169556,True,False,True,1,False,Br;C;N;O,,,False,False,18,2,False,0,0,371.028,49.33,4.169500000000002,2,2,2,False,,True,ligands_pdbqt/CHEMBL1801800.pdbqt,-9.973,completed,vina_screening_full/poses/CHEMBL1801800_out.pdbqt,vina_screening_full/logs/CHEMBL1801800.log,3
CHEMBL490,PAROXETINE,Small molecule,4.0,1992.0,0,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,"InChI=1S/C19H20FNO3/c20-15-3-1-13(2-4-15)17-7-8-21-10-14(17)11-22-16-5-6-18-19(9-16)24-12-23-18/h1-6,9,14,17,21H,7-8,10-12H2/t14-,17-/m0/s1",AHOUBRCZNHFOSL-YOEHRIQHSA-N,329.37,329.37,3.33,39.72,1.0,4.0,0.0,3,CHEMBL1200609;CHEMBL490;CHEMBL6067650,PAROXETINE;PAROXETINE HYDROCHLORIDE;PAROXETINE MESYLATE,1,0.9880037188529968,True,True,True,1,False,C;F;N;O,,,False,False,24,4,False,0,0,329.3710000000001,39.72,3.326500000000002,1,4,4,False,,True,ligands_pdbqt/CHEMBL490.pdbqt,-9.814,completed,vina_screening_full/poses/CHEMBL490_out.pdbqt,vina_screening_full/logs/CHEMBL490.log,4
CHEMBL973,TERIFLUNOMIDE,Small molecule,4.0,2012.0,0,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,"InChI=1S/C12H9F3N2O2/c1-7(18)10(6-16)11(19)17-9-4-2-8(3-5-9)12(13,14)15/h2-5,18H,1H3,(H,17,19)/b10-7-",UTNUDOFZCWSZMS-YFHOEESVSA-N,270.21,270.21,3.0,73.12,2.0,3.0,0.0,1,CHEMBL973,TERIFLUNOMIDE,1,0.7860930919647217,True,False,True,1,False,C;F;N;O,,,False,False,19,2,False,0,0,270.21,73.11999999999999,2.99948,2,3,1,False,,True,ligands_pdbqt/CHEMBL973.pdbqt,-9.536,completed,vina_screening_full/poses/CHEMBL973_out.pdbqt,vina_screening_full/logs/CHEMBL973.log,5
CHEMBL960,LEFLUNOMIDE,Small molecule,4.0,1998.0,0,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,"InChI=1S/C12H9F3N2O2/c1-7-10(6-16-19-7)11(18)17-9-4-2-8(3-5-9)12(13,14)15/h2-6H,1H3,(H,17,18)",VHOGYURTWQBHIL-UHFFFAOYSA-N,270.21,270.21,3.25,55.13,1.0,3.0,0.0,1,CHEMBL960,LEFLUNOMIDE,1,0.9767659902572632,True,True,True,1,False,C;F;N;O,,,False,False,19,2,False,0,0,270.21,55.13,3.254120000000001,1,3,2,False,,True,ligands_pdbqt/CHEMBL960.pdbqt,-9.397,completed,vina_screening_full/poses/CHEMBL960_out.pdbqt,vina_screening_full/logs/CHEMBL960.log,6
CHEMBL1079604,METAXALONE,Small molecule,4.0,1962.0,0,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,"InChI=1S/C12H15NO3/c1-8-3-9(2)5-10(4-8)15-7-11-6-13-12(14)16-11/h3-5,11H,6-7H2,1-2H3,(H,13,14)",IMWZZHHPURKASS-UHFFFAOYSA-N,221.26,221.26,1.79,47.56,1.0,3.0,0.0,1,CHEMBL1079604,METAXALONE,1,0.98058500289917,True,True,True,1,False,C;N;O,,,False,False,16,3,False,0,0,221.256,47.56,1.7906399999999998,1,3,2,False,,True,ligands_pdbqt/CHEMBL1079604.pdbqt,-9.311,completed,vina_screening_full/poses/CHEMBL1079604_out.pdbqt,vina_screening_full/logs/CHEMBL1079604.log,7
CHEMBL631,PROPAFENONE,Small molecule,4.0,1989.0,0,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,"InChI=1S/C21H27NO3/c1-2-14-22-15-18(23)16-25-21-11-7-6-10-19(21)20(24)13-12-17-8-4-3-5-9-17/h3-11,18,22-23H,2,12-16H2,1H3",JWHAUXFOSRPERK-UHFFFAOYSA-N,341.45,341.45,3.24,58.56,2.0,4.0,0.0,2,CHEMBL1201063;CHEMBL631,PROPAFENONE;PROPAFENONE HYDROCHLORIDE,1,0.5111854374408722,True,False,True,1,False,C;N;O,,,False,False,25,11,False,0,0,341.4510000000001,58.56,3.2414000000000023,2,4,2,False,,True,ligands_pdbqt/CHEMBL631.pdbqt,-9.222,completed,vina_screening_full/poses/CHEMBL631_out.pdbqt,vina_screening_full/logs/CHEMBL631.log,8
CHEMBL942,BISACODYL,Small molecule,4.0,2004.0,0,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,"InChI=1S/C22H19NO4/c1-15(24)26-19-10-6-17(7-11-19)22(21-5-3-4-14-23-21)18-8-12-20(13-9-18)27-16(2)25/h3-14,22H,1-2H3",KHOITXIGCFIULA-UHFFFAOYSA-N,361.4,361.4,4.11,65.49,0.0,5.0,0.0,1,CHEMBL942,BISACODYL,1,0.5241123139858246,True,False,True,1,False,C;N;O,,,False,False,27,5,False,0,0,361.3970000000001,65.49000000000001,4.112400000000003,0,5,3,False,,True,ligands_pdbqt/CHEMBL942.pdbqt,-9.171,completed,vina_screening_full/poses/CHEMBL942_out.pdbqt,vina_screening_full/logs/CHEMBL942.log,9
CHEMBL141305,CYCLOFENIL,Small molecule,4.0,,1,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,"InChI=1S/C23H24O4/c1-16(24)26-21-12-8-19(9-13-21)23(18-6-4-3-5-7-18)20-10-14-22(15-11-20)27-17(2)25/h8-15H,3-7H2,1-2H3",GVOUFPWUYJWQSK-UHFFFAOYSA-N,364.44,364.44,5.3,52.6,0.0,4.0,1.0,1,CHEMBL141305,CYCLOFENIL,1,0.5518963158130645,True,False,True,1,False,C;O,,,False,False,27,4,False,0,0,364.441,52.6,5.303200000000005,0,4,3,False,,True,ligands_pdbqt/CHEMBL141305.pdbqt,-9.09,completed,vina_screening_full/poses/CHEMBL141305_out.pdbqt,vina_screening_full/logs/CHEMBL141305.log,10
