"Gene","Coef","FDR","Braak DEG","Braak Direction","Function Type","Druggability","OT LBD Score","OT PD Score","PubMed Hits","Tissue Specificity","Structure evidence"
"GRM5",2.75,3.7e-11,"NO",NA,"signaling, transporter","Tchem",0.0786,0.2766,6,"Tissue enriched (Brain)","experimental"
"UCHL1",2.14,2.2e-28,"NO",NA,"enzyme","Tchem",0.0237,0.1252,303,"Group enriched (Brain, Pituitary Gland)","experimental"
"PDE5A",-2.13,1.9e-223,"NO",NA,"enzyme","Tclin",0.0213,0.3121,2,"Low tissue specificity","experimental"
"MAPK1",2.31,2.5e-24,"NO",NA,"enzyme","Tchem",0.013,0.0898,27,"Low tissue specificity","experimental"
"CAMK2B",2.24,5.4e-37,"NO",NA,"enzyme","Tchem",0.0074,0.009,3,"Group enriched (Brain, Heart Muscle, Skeletal Muscle, Tongue)","experimental"
"KCNC1",-2.05,1.1e-18,"NO",NA,"transporter","Tclin",0.0046,0.0569,0,"Tissue enriched (Brain)","experimental"
"PRKG1",2.04,5.3e-14,"NO",NA,"enzyme","Tchem",0.0044,0.0264,0,"Tissue enhanced (Blood Vessel)","experimental"
"ATP4A",-2.79,0.0094,"YES","consistent","enzyme, transporter","Tclin",0.003,0.2599,0,"Tissue enriched (Stomach 1)","computational"
"MCOLN1",-2.47,0.00044,"NO",NA,"transporter","Tchem",0.003,0.0212,9,"Low tissue specificity","experimental"
"CTSZ",-2.02,0.0029,"NO",NA,"enzyme","Tchem",0.0022,0.0233,0,"Low tissue specificity","experimental"
